Input_A6_024,Input_A3_016,Input_C_013,Input_A2_016,Input_A3_017,Input_C_050,Input_A6_001,Input_C_096,Input_A3_018,Input_A6_019,Input_A1_020,Input_A6_011,Input_A3_015,Input_C_046,Input_C_049,Input_A2_024,Input_C_058,Input_C_057,Input_A3_013,Input_A2_017,mean_abs_diff
0.01011444091796875,0.00813469409942627,3.1297206878662213e-05,0.005885939598083496,0.011260967254638671,0.000374194622039796,3.337860107421875e-06,0.0007134282588958738,0.00844189405441284,0.008209931850433352,3.71558837890625,0.00012337279319763177,0.006531208753585815,0.00012790784835815436,2.8931617736816396e-05,0.014740087985992432,0.004920373678207399,0.005409563064575195,0.0024249134063720704,0.003182311058044434,0.19031235874176022
0.0016168546676635746,0.0004252481460571278,0.0008867728710174562,0.012564640045166015,0.004955620765686036,0.0022599520683288573,3.337860107421875e-06,0.0005817210674285891,0.003857760429382323,0.01575558185577393,3.593469625711441,0.0009701170921325684,0.004683533906936646,0.0005241063594818116,0.00027106838226318363,0.002611566781997681,0.0008896114826202391,0.005641016721725463,0.0017422220706939696,0.005905191898345947,0.18298077750921252
0.001176555156707764,0.001200814247131348,0.0009999654293060302,0.003765780925750733,0.011221697330474853,0.002485283374786377,3.337860107421875e-06,0.004860132932662964,0.00518669605255127,0.005250861644744873,1.5167039394378663,0.0017910945415496827,0.031741042137146,0.0004129602909088135,0.00017314844131469727,0.009597113132476806,0.00029055643081665056,0.008076610326766969,0.0002460262775421142,0.008795788288116455,0.0806989702129364
0.0004307532310485838,0.002002170085906982,0.0006153929233551026,0.007857043743133545,0.007285525798797607,0.001231266736984253,3.337860107421875e-06,0.006390959024429321,0.0029166841506958006,0.007770290374755859,1.4807795524597167,0.002184037446975708,0.020258913040161135,9.460883140563969e-05,0.0003289316177368164,1.1781454086303919e-05,0.0010633780956268296,0.009406391143798827,0.00042455172538757337,0.00952981948852539,0.07802926946163177
0.00010504245758056682,0.01860860824584961,0.0002647686004638673,0.016180198192596435,0.0068650650978088375,0.002693053722381593,3.337860107421875e-06,0.011697232723236084,0.0017086076736450191,0.0028752994537353527,1.0015792846679688,0.0007944324016571046,0.008216011524200442,3.6328315734863352e-06,0.00016421756744384764,9.42707061767599e-06,0.0013504400253295887,0.014263790369033812,0.0004384639263153075,0.009155254364013671,0.05484880843877793
0.0007877445220947268,0.009812154769897462,0.0007097206115722655,0.0007445025444030758,0.001531035900115968,0.0012802278995513918,3.337860107421875e-06,0.01078291654586792,0.002230565547943115,0.00924377679824829,0.6391818523406982,0.0012434463500976562,0.014994341135025027,0.00015186619758605956,0.00012685155868530276,0.004886895418167114,0.00029639363288879415,0.00611209797859192,0.0021067004203796386,0.00875847578048706,0.03574924519062042
4.292488098144552e-05,0.008624186515808105,0.0007068893909454345,0.00837888240814209,0.008284440040588379,0.0023259019851684572,3.337860107421875e-06,0.008451153039932251,0.0030913853645324705,0.003069241046905518,0.5870121121406555,0.00040488624572753915,0.0009065985679626437,0.0008723729133605957,9.010257720947271e-05,2.0751953125000208e-05,0.0006315233707427977,0.0041783337593078625,0.0023213367462158203,0.0010638332366943361,0.03202400970220566
6.455183029174805e-05,0.020473587512969973,0.0003476393222808837,0.00031777381896972573,0.013698327541351321,0.0019086720943450926,3.337860107421875e-06,0.004427522420883179,0.0031882905960083016,0.007935502529144288,0.4510204792022705,0.0010265321731567382,0.004369447231292725,1.730227470397947e-05,0.00013786249160766602,0.0097573983669281,4.251360893249567e-05,0.0008978829383850112,0.00011690235137939466,0.0061838340759277355,0.026296768012046813
4.292488098144552e-05,0.005299010276794434,0.0006173300743103028,0.015352935791015626,0.015288639068603518,0.002196474552154541,0.00035902857780456543,0.014990319013595581,0.004478135108947755,0.004332172870635989,0.43646371364593506,0.0014527182579040527,0.001256275177001956,0.0002941888809204102,0.00017314844131469727,7.115721702575725e-05,0.002006193399429321,0.008526222229003906,0.0007989284992218019,0.004588158130645753,0.025929383704662322
0.00016058444976806661,0.008869428634643555,0.0005973882675170891,0.0007549023628234865,0.003356893062591553,0.00039853286743164046,3.337860107421875e-06,0.004036147594451905,0.0029980731010437016,0.0017781662940979,0.34706456661224383,0.0010457377433776855,0.010586330890655518,0.0003527470588684082,1.4106655120849662e-05,0.0005107712745666508,0.00041857624053955045,0.004468597412109374,0.0018773512840270998,0.004160752296447754,0.019672649598121653
